,item,Q1,Q2,Q3,Q4,units_total,avg_price,cluster_hdbscan,cluster_kmeans
0,ACCESORIES_1_001,0.28126331823982564,0.19537178855082032,0.23440221472255685,0.2889626784867973,4051,11.00071202172303,1,2
1,ACCESORIES_1_002,0.19965388182465277,0.19024020621335536,0.25598169477108984,0.3541242171909021,5047,5.279317337031902,-1,3
2,ACCESORIES_1_003,0.28906193669334485,0.2567140144687192,0.22794241353618383,0.22628163530175213,1405,3.9385985765124554,1,3
3,ACCESORIES_1_004,0.2667514602273379,0.2587573607598236,0.22965474116916088,0.2448364378436777,38996,6.006286957636681,1,3
4,ACCESORIES_1_005,0.23419721483507489,0.20262374163040414,0.25789811675227103,0.30528092678225,14529,3.8074222795787733,1,3
5,ACCESORIES_1_006,0.25246213898757275,0.25707946696864187,0.25006654429696146,0.24039184974682395,13017,1.3281465621879083,1,3
6,ACCESORIES_1_007,0.27198949167595715,0.20072461245460563,0.23903465386467054,0.2882512420047668,2989,10.4809962529274,1,2
7,ACCESORIES_1_008,0.26455347698193044,0.2714567242903305,0.23827650664386837,0.2257132920838707,87244,0.6312271101737655,1,3
8,ACCESORIES_1_009,0.260424401721083,0.2607986635315568,0.23812137701533467,0.24065555773202554,15569,2.2939369130965384,1,3
9,ACCESORIES_1_010,0.24583139721140715,0.25948718984769814,0.2622985831916717,0.23238282974922286,11650,3.9555569957081547,1,3
10,ACCESORIES_1_011,0.24008069939475454,0.246133154001345,0.2703429724277068,0.24344317417619368,1487,4.6284,1,3
11,ACCESORIES_1_012,0.2724074211300512,0.268254712521496,0.23141502129801633,0.2279228450504364,7294,8.563150479846449,1,3
12,ACCESORIES_1_013,0.23318077803203666,0.25469107551487413,0.2704805491990847,0.2416475972540046,4370,2.6201,1,3
13,ACCESORIES_1_014,0.2591183409404249,0.23339356208842493,0.24312043467463626,0.2643676622965139,37034,1.342017907868445,1,3
14,ACCESORIES_1_015,0.2569493451992954,0.27304478960722733,0.24697195077277795,0.2230339144206994,84109,0.9393014112639552,1,3
15,ACCESORIES_1_016,0.26733332555638695,0.2526760829616072,0.23861425290486804,0.24137633857713783,59471,0.9393817440433153,1,3
16,ACCESORIES_1_017,0.2521143939472041,0.26392428530445106,0.2522853869258271,0.23167593382251786,14467,2.5860681067256515,1,3
17,ACCESORIES_1_018,0.23949246629659,0.31086439333862015,0.26011102299762096,0.18953211736716893,1261,15.800400000000002,-1,2
18,ACCESORIES_1_019,0.25285837649723525,0.2697826224318356,0.23801928320650145,0.23933971786442787,52698,0.6231006338001442,1,3
19,ACCESORIES_1_020,0.27202244784848,0.24866119796854147,0.23677389914389171,0.24254245503908675,4449,15.997744616767815,1,2
20,ACCESORIES_1_021,0.20056006588001316,0.33770935779474,0.2756800813485474,0.18605049497669945,6690,15.76189759342302,-1,1
21,ACCESORIES_1_022,0.30472761916811153,0.26266910883060796,0.21456097119147508,0.2180423008098055,7321,9.4771083868324,1,2
22,ACCESORIES_1_023,0.2046921443020145,0.30282255433376304,0.29480468196269816,0.19768061940152418,20747,4.558465860124356,1,3
23,ACCESORIES_1_024,0.2574207492795389,0.23243384857217708,0.24705385000119084,0.2630915521470931,3780,11.818562962962964,1,2
24,ACCESORIES_1_025,0.2558685430954148,0.2579189496172083,0.2447282361565492,0.24148427113082774,8070,5.13938039653036,1,3
25,ACCESORIES_1_026,0.27404767247465395,0.21679812060562634,0.23563061147897651,0.273523595440743,3394,23.889966293459043,0,2
26,ACCESORIES_1_027,0.28538244757039516,0.26047979235780255,0.24072566705506188,0.21341209301674033,1998,26.610956856856856,-1,2
27,ACCESORIES_1_028,0.25761080898032324,0.25691925636685764,0.24262500656845234,0.24284492808436683,8136,10.079353343166176,1,2
28,ACCESORIES_1_029,0.2541862822685245,0.26476187095841563,0.23045188135289396,0.2505999654201658,18064,11.118640229185118,1,2
29,ACCESORIES_1_030,0.2730761146574228,0.23535694727304704,0.23546323335609984,0.2561037047134303,29417,0.9485969439439781,1,3
30,ACCESORIES_1_031,0.27100706737855046,0.25927392227306084,0.2517115172710477,0.21800749307734107,6083,14.601862945914844,1,2
31,ACCESORIES_1_032,0.27681335580408534,0.3029101218323628,0.2209476837500758,0.19932883861347603,62996,0.7414948457044892,1,3
32,ACCESORIES_1_033,0.29407683229051035,0.2381204629682993,0.1912828852577322,0.27651981948345805,2483,21.37625493354813,-1,2
33,ACCESORIES_1_034,0.18757101961134715,0.3230636324232793,0.2755957148543798,0.21376963311099378,9003,6.431437109852272,-1,1
34,ACCESORIES_1_035,0.2691256005445917,0.23199345706361243,0.2329566138671725,0.26592432852462333,3048,2.6729552821522313,1,3
35,ACCESORIES_1_036,0.2667869154108211,0.26928271260822617,0.25160596557289355,0.2123244064080592,10473,1.3982601260383847,1,3
36,ACCESORIES_1_037,0.2385069437168602,0.24461454558100154,0.26270924888194763,0.2541692618201905,13920,17.144487298850574,1,2
37,ACCESORIES_1_038,0.25134219855345813,0.2567648814712673,0.2528811965405566,0.23901172343471808,5905,4.263184928027096,1,3
38,ACCESORIES_1_039,0.2507795007010275,0.2730449703894365,0.23594282963986024,0.2402326992696759,1707,7.818927416520212,1,3
39,ACCESORIES_1_040,0.253585883496278,0.20653007564344505,0.25068921676846134,0.28919482409181557,15574,17.17752900346732,-1,2
40,ACCESORIES_1_041,0.24901676182137814,0.24205695587258846,0.2626335253546852,0.2462927569513482,6291,5.1867526466380545,1,3
41,ACCESORIES_1_042,0.27954938139427826,0.25366997674913255,0.22598252788508388,0.24079811397150525,7382,10.105302885396911,1,2
42,ACCESORIES_1_043,0.2633170583126593,0.24617053896663432,0.24329476319505228,0.24721763952565412,49960,0.9404271337069656,1,3
43,ACCESORIES_1_044,0.25170673052131043,0.2786121928476571,0.25445921834684504,0.21522185828418755,11128,1.9700529385334289,1,3
44,ACCESORIES_1_045,0.32352941176470584,0.1627450980392157,0.23333333333333334,0.2803921568627451,1020,14.0714,-1,2
