,item,Q1,Q2,Q3,Q4,units_total,avg_price,cluster_kmeans
0,ACCESORIES_1_001,0.28126331823982575,0.19537178855082032,0.2344022147225566,0.28896267848679735,4051,11.00071202172303,2
1,ACCESORIES_1_002,0.19965388182465285,0.19024020621335547,0.25598169477108956,0.35412421719090215,5047,5.279317337031902,3
2,ACCESORIES_1_003,0.28906193669334507,0.2567140144687192,0.2279424135361838,0.22628163530175197,1405,3.9385985765124554,3
3,ACCESORIES_1_004,0.26675146022733803,0.25875736075982353,0.22965474116916076,0.2448364378436777,38996,6.006286957636681,3
4,ACCESORIES_1_005,0.2341972148350751,0.20262374163040406,0.25789811675227103,0.30528092678225,14529,3.8074222795787733,3
5,ACCESORIES_1_006,0.2524621389875727,0.25707946696864176,0.2500665442969614,0.240391849746824,13017,1.3281465621879083,3
6,ACCESORIES_1_007,0.27198949167595726,0.2007246124546055,0.23903465386467027,0.2882512420047669,2989,10.4809962529274,2
7,ACCESORIES_1_008,0.2645534769819305,0.2714567242903304,0.23827650664386835,0.22571329208387086,87244,0.6312271101737655,3
8,ACCESORIES_1_009,0.2604244017210828,0.2607986635315569,0.23812137701533462,0.24065555773202568,15569,2.2939369130965384,3
9,ACCESORIES_1_010,0.24583139721140715,0.2594871898476982,0.2622985831916718,0.23238282974922295,11650,3.9555569957081547,3
10,ACCESORIES_1_011,0.2400806993947544,0.246133154001345,0.27034297242770705,0.24344317417619366,1487,4.6284,3
11,ACCESORIES_1_012,0.2724074211300514,0.26825471252149635,0.2314150212980161,0.2279228450504361,7294,8.563150479846449,3
12,ACCESORIES_1_013,0.2331807780320364,0.2546910755148742,0.27048054919908454,0.2416475972540049,4370,2.6201,3
13,ACCESORIES_1_014,0.25911834094042485,0.23339356208842502,0.24312043467463645,0.26436766229651365,37034,1.342017907868445,3
14,ACCESORIES_1_015,0.2569493451992953,0.27304478960722733,0.24697195077277834,0.22303391442069911,84109,0.9393014112639552,3
15,ACCESORIES_1_016,0.26733332555638734,0.25267608296160715,0.2386142529048679,0.2413763385771376,59471,0.9393817440433153,3
16,ACCESORIES_1_017,0.25211439394720386,0.2639242853044513,0.252285386925827,0.23167593382251778,14467,2.5860681067256515,3
17,ACCESORIES_1_018,0.23949246629659,0.31086439333862026,0.2601110229976209,0.1895321173671688,1261,15.800400000000002,2
18,ACCESORIES_1_019,0.2528583764972351,0.26978262243183576,0.23801928320650145,0.23933971786442784,52698,0.6231006338001442,3
19,ACCESORIES_1_020,0.27202244784848,0.24866119796854141,0.23677389914389171,0.24254245503908684,4449,15.997744616767815,2
20,ACCESORIES_1_021,0.2005600658800133,0.33770935779474004,0.2756800813485473,0.18605049497669943,6690,15.76189759342302,1
21,ACCESORIES_1_022,0.3047276191681115,0.26266910883060784,0.2145609711914753,0.21804230080980536,7321,9.4771083868324,2
22,ACCESORIES_1_023,0.204692144302014,0.30282255433376287,0.2948046819626988,0.19768061940152432,20747,4.558465860124356,3
23,ACCESORIES_1_024,0.2574207492795389,0.2324338485721771,0.24705385000119082,0.26309155214709323,3780,11.818562962962964,2
24,ACCESORIES_1_025,0.25586854309541474,0.2579189496172084,0.2447282361565493,0.2414842711308276,8070,5.13938039653036,3
25,ACCESORIES_1_026,0.2740476724746542,0.21679812060562645,0.2356306114789765,0.2735235954407428,3394,23.889966293459043,2
26,ACCESORIES_1_027,0.28538244757039505,0.2604797923578026,0.24072566705506185,0.2134120930167405,1998,26.610956856856856,2
27,ACCESORIES_1_028,0.25761080898032346,0.2569192563668576,0.2426250065684525,0.2428449280843664,8136,10.079353343166176,2
28,ACCESORIES_1_029,0.2541862822685243,0.2647618709584154,0.23045188135289402,0.2505999654201662,18064,11.118640229185118,2
29,ACCESORIES_1_030,0.27307611465742265,0.23535694727304712,0.2354632333560996,0.2561037047134305,29417,0.9485969439439781,3
30,ACCESORIES_1_031,0.27100706737855046,0.25927392227306084,0.2517115172710476,0.21800749307734107,6083,14.601862945914844,2
31,ACCESORIES_1_032,0.2768133558040852,0.3029101218323629,0.22094768375007584,0.19932883861347603,62996,0.7414948457044892,3
32,ACCESORIES_1_033,0.29407683229051046,0.2381204629682992,0.19128288525773207,0.2765198194834582,2483,21.37625493354813,2
33,ACCESORIES_1_034,0.18757101961134737,0.3230636324232799,0.2755957148543791,0.2137696331109936,9003,6.431437109852272,1
34,ACCESORIES_1_035,0.26912560054459156,0.23199345706361246,0.23295661386717287,0.26592432852462317,3048,2.6729552821522313,3
35,ACCESORIES_1_036,0.2667869154108212,0.26928271260822617,0.25160596557289333,0.21232440640805927,10473,1.3982601260383847,3
36,ACCESORIES_1_037,0.2385069437168598,0.24461454558100174,0.26270924888194785,0.2541692618201907,13920,17.144487298850574,2
37,ACCESORIES_1_038,0.2513421985534582,0.256764881471267,0.2528811965405565,0.23901172343471838,5905,4.263184928027096,3
38,ACCESORIES_1_039,0.25077950070102745,0.2730449703894365,0.23594282963986035,0.24023269926967583,1707,7.818927416520212,3
39,ACCESORIES_1_040,0.253585883496278,0.20653007564344503,0.2506892167684613,0.28919482409181574,15574,17.17752900346732,2
40,ACCESORIES_1_041,0.24901676182137825,0.24205695587258858,0.262633525354685,0.24629275695134822,6291,5.1867526466380545,3
41,ACCESORIES_1_042,0.27954938139427793,0.25366997674913255,0.22598252788508394,0.24079811397150544,7382,10.105302885396911,2
42,ACCESORIES_1_043,0.2633170583126592,0.2461705389666342,0.24329476319505247,0.24721763952565412,49960,0.9404271337069656,3
43,ACCESORIES_1_044,0.25170673052131054,0.2786121928476568,0.25445921834684493,0.21522185828418758,11128,1.9700529385334289,3
44,ACCESORIES_1_045,0.3235294117647056,0.16274509803921586,0.2333333333333333,0.28039215686274516,1020,14.0714,2
45,ACCESORIES_1_046,0.3921591513375134,0.23906553751885165,0.15810523236610577,0.21067007877752914,2184,25.14822948717949,2
46,ACCESORIES_1_047,0.27002636856703593,0.2523080997628788,0.24033202550681773,0.2373335061632674,14498,2.2930225617326525,3
47,ACCESORIES_1_048,0.283403459481273,0.26306673528092683,0.2303424241576455,0.22318738108015465,75254,0.6253977981236878,3
48,ACCESORIES_1_049,0.2822366448932359,0.22958537531864245,0.20782588691293635,0.28035209287518537,4316,10.608962557924002,0
49,ACCESORIES_1_050,0.2612310047515713,0.25418810982828094,0.23178487359521033,0.25279601182493744,8653,13.821337559228015,2
50,ACCESORIES_1_051,0.23040935672514604,0.23937621832358671,0.25964912280701774,0.2705653021442495,2565,7.9534,3
51,ACCESORIES_1_052,0.27739253168052536,0.27269031327667154,0.21424626430609675,0.2356708907367063,887,7.818900563697859,3
52,ACCESORIES_1_053,0.21067633525688287,0.25317131453847513,0.29078380405216453,0.24536854615247736,3172,5.278003530895335,3
53,ACCESORIES_1_054,0.2957767518619425,0.21443814509990825,0.1869731609984422,0.3028119420397072,948,3.9445162447257385,0
54,ACCESORIES_1_055,0.2301848413065858,0.26137645437403134,0.24991955886161396,0.25851914545776894,20254,11.25302795497186,2
55,ACCESORIES_1_056,0.23944369131897403,0.27971079981924984,0.24009640006024993,0.2407491088015262,19917,1.2501999999999998,3
56,ACCESORIES_1_057,0.17739166833427267,0.22330744107231038,0.3128936850666342,0.2864072055267827,9018,6.426628432024839,3
57,ACCESORIES_1_058,0.2431542873620021,0.28902238793936685,0.260420450869936,0.2074028738286951,5069,11.064770881830736,2
58,ACCESORIES_1_060,0.2714550806843423,0.20421677112037254,0.23729362715279675,0.28703452104248844,3390,39.02694327433628,2
